mojoTitle, rtTitle, year, found, rtID
"The Third Miracle",The Third Miracle,1999,True,15136
"A Map of the World",A Map of the World,1999,True,15286
"20 Dates",,1999,False,
"Still Crazy",,1999,False,
"Mr. Death",Mr. Death: The Rise and Fall of Fred A. Leuchter  Jr.,1999,True,12418
"Plunkett and Macleane",Plunkett & Macleane,1999,True,15155
"Just the Ticket",Just the Ticket,1999,True,15734
"Earth (1999)",,1999,False,
"The Last Days",The Last Days,1999,True,12796
"My Son  the Fanatic",,1999,False,
"The School of Flesh",,1999,False,
"Dillagi",Dillagi,1999,True,770765699
"Lucie Aubrac",,1999,False,
"Head On",,1999,False,
"Genghis Blues",Genghis Blues,1999,True,18542
"Open Your Eyes",,1999,False,
"The Minus Man",The Minus Man,1999,True,14513
"The Basket",The Basket,1999,True,12247
"The Source",The Source,1999,True,19102
"My Name Is Joe",,1999,False,
"Black Cat  White Cat",Crna macka  beli macor (Black Cat  White Cat),1999,True,770682305
"Les Enfants Du Marais",Les Enfants du marais (The Children of the Marshland),1999,True,554003068
"Trekkies",,1999,False,
"Lovers of the Arctic Circle",,1999,False,
"Le Dernier Souffle",Le Dernier Souffle,1999,True,771323189
"Hindustan Ki Kasam",Hindustan Ki Kasam,1999,True,770726104
"42 Up",42 Up,1999,True,21212
"SLC Punk!",,1999,False,
"Simon Sez",Simon Sez,1999,True,12414
"Sarfarosh",Sarfarosh,1999,True,351289941
"Dil Kya Kare",Dil Kya Kare,1999,True,770727395
"Twice Upon a Yesterday",,1999,False,
"Beefcake",Beefcake,1999,True,19134
"Rosetta",Rosetta,1999,True,16868
"Dancemaker",,1999,False,
"The War Zone",The War Zone,1999,True,14664
"Dog Park",,1999,False,
"Hello Brother",Hello Brother,1999,True,770670212
"The Harmonists",,1999,False,
"One Man's Hero",,1999,False,
